
 Successful steps:           107
 Bad steps:                    0
 Y(END)=  0.9978984      1.9028881E-03  9.1329588E-05
   604.7487E-03   997.5924E-03     1.9166E-03   137.3284E-06   354.3008E-06
   624.3469E-03   997.6612E-03     1.9132E-03   126.9810E-06   299.2925E-06
   644.2511E-03   997.7152E-03     1.9107E-03   118.8556E-06   255.9695E-06
   664.5435E-03   997.7576E-03     1.9087E-03   112.4780E-06   221.8777E-06
   685.3231E-03   997.7909E-03     1.9072E-03   107.4775E-06   195.0873E-06
   706.7114E-03   997.8169E-03     1.9061E-03   103.5635E-06   174.0773E-06
   728.8518E-03   997.8372E-03     1.9053E-03   100.5091E-06   157.6532E-06
   751.9206E-03   997.8530E-03     1.9046E-03    98.1354E-06   144.8702E-06
   776.1269E-03   997.8653E-03     1.9041E-03    96.3019E-06   134.9839E-06
   801.7307E-03   997.8746E-03     1.9038E-03    94.8974E-06   127.4018E-06
   829.0524E-03   997.8817E-03     1.9035E-03    93.8334E-06   121.6521E-06
   858.4905E-03   997.8870E-03     1.9033E-03    93.0392E-06   117.3568E-06
   890.5545E-03   997.8909E-03     1.9032E-03    92.4579E-06   114.2106E-06
   925.9161E-03   997.8936E-03     1.9031E-03    92.0432E-06   111.9640E-06
   965.4803E-03   997.8955E-03     1.9030E-03    91.7569E-06   110.4129E-06
     1.0105E+00   997.8968E-03     1.9029E-03    91.5680E-06   109.3884E-06
     1.0629E+00   997.8976E-03     1.9029E-03    91.4504E-06   108.7511E-06
     1.1255E+00   997.8980E-03     1.9029E-03    91.3832E-06   108.3864E-06
     1.2032E+00   997.8983E-03     1.9029E-03    91.3491E-06   108.2013E-06
     1.3049E+00   997.8984E-03     1.9029E-03    91.3348E-06   108.1234E-06
     1.4492E+00   997.8984E-03     1.9029E-03    91.3303E-06   108.0995E-06
     1.6656E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0956E-06
     1.9903E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
     2.4774E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
     3.2079E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
     4.3037E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
     5.9475E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
     8.4131E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
    12.1115E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
    17.6591E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
    20.0000E+00   997.8984E-03     1.9029E-03    91.3296E-06   108.0954E-06
