     time     force
  0.00000E+00  8.15680E-02
  2.00401E-03  8.95981E-02
  4.00802E-03  9.76026E-02
  6.01202E-03  1.05581E-01
  8.01603E-03  1.13535E-01
  1.00200E-02  1.21463E-01
  1.20240E-02  1.29365E-01
  1.40281E-02  1.37242E-01
  1.60321E-02  1.45094E-01
  1.80361E-02  1.52921E-01
  2.00401E-02  1.60723E-01
  2.20441E-02  1.68500E-01
  2.40481E-02  1.76252E-01
  2.60521E-02  1.83979E-01
  2.80561E-02  1.91681E-01
  3.00601E-02  1.99359E-01
  3.20641E-02  2.07012E-01
  3.40681E-02  2.14640E-01
  3.60721E-02  2.22245E-01
  3.80762E-02  2.29824E-01
  4.00802E-02  2.37380E-01
  4.20842E-02  2.44911E-01
  4.40882E-02  2.52419E-01
  4.60922E-02  2.59902E-01
  4.80962E-02  2.67361E-01
  5.01002E-02  2.74797E-01
  5.21042E-02  2.82208E-01
  5.41082E-02  2.89596E-01
  5.61122E-02  2.96960E-01
  5.81162E-02  3.04301E-01
  6.01202E-02  3.11618E-01
  6.21242E-02  3.18912E-01
  6.41283E-02  3.26182E-01
  6.61323E-02  3.33429E-01
  6.81363E-02  3.40653E-01
  7.01403E-02  3.47854E-01
  7.21443E-02  3.55032E-01
  7.41483E-02  3.62187E-01
  7.61523E-02  3.69318E-01
  7.81563E-02  3.76427E-01
  8.01603E-02  3.83514E-01
  8.21643E-02  3.90577E-01
  8.41683E-02  3.97618E-01
  8.61723E-02  4.04637E-01
  8.81764E-02  4.11633E-01
  9.01804E-02  4.18606E-01
  9.21844E-02  4.25557E-01
  9.41884E-02  4.32486E-01
  9.61924E-02  4.39393E-01
  9.81964E-02  4.46278E-01
  1.00200E-01  4.53140E-01
  1.02204E-01  4.59981E-01
  1.04208E-01  4.66800E-01
  1.06212E-01  4.73597E-01
  1.08216E-01  4.80372E-01
  1.10220E-01  4.87126E-01
  1.12224E-01  4.93857E-01
  1.14228E-01  5.00568E-01
  1.16232E-01  5.07257E-01
  1.18236E-01  5.13924E-01
  1.20240E-01  5.20570E-01
  1.22244E-01  5.27195E-01
  1.24248E-01  5.33799E-01
  1.26253E-01  5.40381E-01
  1.28257E-01  5.46943E-01
  1.30261E-01  5.53483E-01
  1.32265E-01  5.60002E-01
  1.34269E-01  5.66501E-01
  1.36273E-01  5.72979E-01
  1.38277E-01  5.79436E-01
  1.40281E-01  5.85872E-01
  1.42285E-01  5.92288E-01
  1.44289E-01  5.98683E-01
  1.46293E-01  6.05058E-01
  1.48297E-01  6.11412E-01
  1.50301E-01  6.17746E-01
  1.52305E-01  6.24060E-01
  1.54309E-01  6.30354E-01
  1.56313E-01  6.36627E-01
  1.58317E-01  6.42880E-01
  1.60321E-01  6.49113E-01
  1.62325E-01  6.55327E-01
  1.64329E-01  6.61520E-01
  1.66333E-01  6.67694E-01
  1.68337E-01  6.73848E-01
  1.70341E-01  6.79982E-01
  1.72345E-01  6.86096E-01
  1.74349E-01  6.92191E-01
  1.76353E-01  6.98267E-01
  1.78357E-01  7.04323E-01
  1.80361E-01  7.10359E-01
  1.82365E-01  7.16376E-01
  1.84369E-01  7.22374E-01
  1.86373E-01  7.28353E-01
  1.88377E-01  7.34313E-01
  1.90381E-01  7.40253E-01
  1.92385E-01  7.46175E-01
  1.94389E-01  7.52078E-01
  1.96393E-01  7.57961E-01
  1.98397E-01  7.63826E-01
  2.00401E-01  7.69672E-01
  2.02405E-01  7.75500E-01
  2.04409E-01  7.81308E-01
  2.06413E-01  7.87098E-01
  2.08417E-01  7.92870E-01
  2.10421E-01  7.98623E-01
  2.12425E-01  8.04358E-01
  2.14429E-01  8.10074E-01
  2.16433E-01  8.15772E-01
  2.18437E-01  8.21452E-01
  2.20441E-01  8.27114E-01
  2.22445E-01  8.32757E-01
  2.24449E-01  8.38383E-01
  2.26453E-01  8.43990E-01
  2.28457E-01  8.49579E-01
  2.30461E-01  8.55151E-01
  2.32465E-01  8.60705E-01
  2.34469E-01  8.66241E-01
  2.36473E-01  8.71759E-01
  2.38477E-01  8.77259E-01
  2.40481E-01  8.82742E-01
  2.42485E-01  8.88208E-01
  2.44489E-01  8.93656E-01
  2.46493E-01  8.99086E-01
  2.48497E-01  9.04499E-01
  2.50501E-01  9.09895E-01
  2.52505E-01  9.15273E-01
  2.54509E-01  9.20635E-01
  2.56513E-01  9.25979E-01
  2.58517E-01  9.31306E-01
  2.60521E-01  9.36616E-01
  2.62525E-01  9.41909E-01
  2.64529E-01  9.47185E-01
  2.66533E-01  9.52444E-01
  2.68537E-01  9.57686E-01
  2.70541E-01  9.62912E-01
  2.72545E-01  9.68120E-01
  2.74549E-01  9.73312E-01
  2.76553E-01  9.78488E-01
  2.78557E-01  9.83647E-01
  2.80561E-01  9.88789E-01
  2.82565E-01  9.93915E-01
  2.84569E-01  9.99025E-01
  2.86573E-01  1.00412E+00
  2.88577E-01  1.00919E+00
  2.90581E-01  1.01426E+00
  2.92585E-01  1.01930E+00
  2.94589E-01  1.02433E+00
  2.96593E-01  1.02934E+00
  2.98597E-01  1.03434E+00
  3.00601E-01  1.03932E+00
  3.02605E-01  1.04428E+00
  3.04609E-01  1.04923E+00
  3.06613E-01  1.05416E+00
