	time		Ca
    9.0000003576E-02    1.2776499716E-06    4.6642720699E-02
    9.0999998152E-02    1.2620199641E-06    4.7692265362E-02
    9.2000000179E-02    1.2461399592E-06    4.8747375607E-02
    9.3000002205E-02    1.2300199614E-06    4.9789451063E-02
    9.3999996781E-02    1.2136799796E-06    5.0828691572E-02
    9.4999998808E-02    1.1971600316E-06    5.1863644272E-02
    9.6000000834E-02    1.1804700080E-06    5.2898604423E-02
    9.7000002861E-02    1.1636300314E-06    5.3930032998E-02
    9.7999997437E-02    1.1466700016E-06    5.4960511625E-02
    9.8999999464E-02    1.1296000366E-06    5.5947966874E-02
    1.0000000149E-01    1.1124400316E-06    5.6922648102E-02
    1.0100000352E-01    1.0952200000E-06    5.7894997299E-02
    1.0199999809E-01    1.0779400554E-06    5.8850631118E-02
    1.0300000012E-01    1.0606399883E-06    5.9795718640E-02
    1.0400000215E-01    1.0433100215E-06    6.0728318989E-02
    1.0499999672E-01    1.0259899454E-06    6.1640821397E-02
    1.0599999875E-01    1.0086699831E-06    6.2549270689E-02
    1.0700000077E-01    9.9138799214E-07    6.3431642950E-02
    1.0800000280E-01    9.7414397260E-07    6.4308784902E-02
    1.0899999738E-01    9.5695304481E-07    6.5180189908E-02
    1.0999999940E-01    9.3982799854E-07    6.6027499735E-02
    1.1100000143E-01    9.2278099828E-07    6.6858462989E-02
    1.1200000346E-01    9.0582301482E-07    6.7685805261E-02
    1.1299999803E-01    8.8896297257E-07    6.8494342268E-02
    1.1400000006E-01    8.7221297917E-07    6.9284319878E-02
    1.1500000209E-01    8.5558002638E-07    7.0068411529E-02
    1.1599999666E-01    8.3907502813E-07    7.0828519762E-02
    1.1699999869E-01    8.2270400981E-07    7.1585573256E-02
    1.1800000072E-01    8.0647600953E-07    7.2317704558E-02
    1.1900000274E-01    7.9039699585E-07    7.3039695621E-02
    1.1999999732E-01    7.7447498370E-07    7.3755480349E-02
    1.2099999934E-01    7.5871599847E-07    7.4453242123E-02
    1.2200000137E-01    7.4312498555E-07    7.5140915811E-02
    1.2300000340E-01    7.2770802717E-07    7.5806990266E-02
    1.2399999797E-01    7.1247001188E-07    7.6461344957E-02
    1.2500000000E-01    6.9741400921E-07    7.7098146081E-02
    1.2600000203E-01    6.8254598773E-07    7.7724881470E-02
    1.2700000405E-01    6.6786799380E-07    7.8332550824E-02
    1.2800000608E-01    6.5338400645E-07    7.8932106495E-02
    1.2899999321E-01    6.3909698156E-07    7.9516306520E-02
    1.2999999523E-01    6.2501101183E-07    8.0087088048E-02
    1.3099999726E-01    6.1112598360E-07    8.0638758838E-02
    1.3199999928E-01    5.9744502323E-07    8.1185318530E-02
    1.3300000131E-01    5.8397000657E-07    8.1708058715E-02
    1.3400000334E-01    5.7070201365E-07    8.2221567631E-02
    1.3500000536E-01    5.5764201079E-07    8.2722902298E-02
    1.3600000739E-01    5.4479102118E-07    8.3204314113E-02
    1.3699999452E-01    5.3215001117E-07    8.3674341440E-02
    1.3799999654E-01    5.1972000392E-07    8.4127008915E-02
    1.3899999857E-01    5.0749997627E-07    8.4568552673E-02
    1.4000000060E-01    4.9548998504E-07    8.4991075099E-02
    1.4100000262E-01    4.8368997341E-07    8.5401631892E-02
    1.4200000465E-01    4.7210099297E-07    8.5797034204E-02
    1.4300000668E-01    4.6072000259E-07    8.6173683405E-02
    1.4399999380E-01    4.4954799705E-07    8.6533181369E-02
    1.4499999583E-01    4.3858298682E-07    8.6876891553E-02
    1.4599999785E-01    4.2782400556E-07    8.7200194597E-02
    1.4699999988E-01    4.1727099642E-07    8.7508082390E-02
    1.4800000191E-01    4.0692199832E-07    8.7792374194E-02
    1.4900000393E-01    3.9677399855E-07    8.8057994843E-02
    1.5000000596E-01    3.8682799186E-07    8.8302269578E-02
    1.5099999309E-01    3.7708099399E-07    8.8527746499E-02
    1.5199999511E-01    3.6753098698E-07    8.8728465140E-02
    1.5299999714E-01    3.5817600974E-07    8.8906645775E-02
    1.5399999917E-01    3.4901501067E-07    8.9053869247E-02
    1.5500000119E-01    3.4004500549E-07    8.9167974889E-02
    1.5600000322E-01    3.3126400467E-07    8.9249536395E-02
    1.5700000525E-01    3.2266999028E-07    8.9299120009E-02
    1.5800000727E-01    3.1426100122E-07    8.9317537844E-02
    1.5899999440E-01    3.0603399637E-07    8.9305497706E-02
    1.5999999642E-01    2.9798698620E-07    8.9263528585E-02
    1.6099999845E-01    2.9011800962E-07    8.9192241430E-02
    1.6200000048E-01    2.8242399708E-07    8.9092224836E-02
    1.6300000250E-01    2.7490199273E-07    8.8964208961E-02
    1.6400000453E-01    2.6755100180E-07    8.8808424771E-02
    1.6500000656E-01    2.6036698841E-07    8.8625095785E-02
    1.6599999368E-01    2.5334799147E-07    8.8415309787E-02
    1.6699999571E-01    2.4649199304E-07    8.8179059327E-02
    1.6799999774E-01    2.3979501407E-07    8.7916545570E-02
    1.6899999976E-01    2.3325499399E-07    8.7628670037E-02
    1.7000000179E-01    2.2687000012E-07    8.7315067649E-02
    1.7100000381E-01    2.2063700555E-07    8.6976759136E-02
    1.7200000584E-01    2.1455299759E-07    8.6613632739E-02
    1.7299999297E-01    2.0861600092E-07    8.6226239800E-02
    1.7399999499E-01    2.0282300284E-07    8.5814908147E-02
