  2.2100000E-02          50         990         110
           28.0         2504.0           50.0
           29.0         2486.0           49.9
           25.0         2522.0           50.2
           29.0         2399.0           49.0
           25.0         2400.0           49.0
           37.0         2412.0           49.1
           35.0         2314.0           48.1
           33.0         2330.0           48.3
           28.0         2277.0           47.7
           29.0         2244.0           47.4
           25.0         2196.0           46.9
           23.0         2156.0           46.4
           19.0         2126.0           46.1
           32.0         2115.0           46.0
           32.0         2174.0           46.6
           23.0         2135.0           46.2
           17.0         2171.0           46.6
           28.0         2057.0           45.4
           30.0         2140.0           46.3
           15.0         2080.0           45.6
           17.0         2059.0           45.4
           32.0         2014.0           44.9
           35.0         1989.0           44.6
           23.0         2014.0           44.9
           24.0         1921.0           43.8
           20.0         1919.0           43.8
           21.0         1946.0           44.1
           23.0         1879.0           43.3
           21.0         1916.0           43.8
           21.0         1875.0           43.3
           21.0         1761.0           42.0
           14.0         1822.0           42.7
            8.0         1916.0           43.8
           14.0         1903.0           43.6
           10.0         1829.0           42.8
           18.0         1755.0           41.9
            6.0         1706.0           41.3
           12.0         1724.0           41.5
           10.0         1697.0           41.2
           14.0         1790.0           42.3
            8.0         1650.0           40.6
           14.0         1684.0           41.0
            9.0         1630.0           40.4
           12.0         1686.0           41.1
            8.0         1585.0           39.8
            8.0         1625.0           40.3
           11.0         1570.0           39.6
            9.0         1573.0           39.7
           12.0         1529.0           39.1
            9.0         1608.0           40.1
            9.0         1464.0           38.3
            7.0         1586.0           39.8
            6.0         1535.0           39.2
           12.0         1534.0           39.2
            5.0         1511.0           38.9
            7.0         1456.0           38.2
            9.0         1418.0           37.7
            6.0         1416.0           37.6
            8.0         1432.0           37.8
            9.0         1435.0           37.9
            9.0         1460.0           38.2
            8.0         1369.0           37.0
           12.0         1431.0           37.8
            2.0         1375.0           37.1
           11.0         1384.0           37.2
            4.0         1342.0           36.6
            6.0         1348.0           36.7
            7.0         1417.0           37.6
            5.0         1360.0           36.9
            4.0         1382.0           37.2
            7.0         1325.0           36.4
            9.0         1313.0           36.2
           12.0         1268.0           35.6
            7.0         1191.0           34.5
            5.0         1275.0           35.7
            4.0         1261.0           35.5
            6.0         1234.0           35.1
           11.0         1230.0           35.1
           15.0         1260.0           35.5
            8.0         1161.0           34.1
            5.0         1195.0           34.6
            4.0         1179.0           34.3
            5.0         1243.0           35.3
           14.0         1141.0           33.8
           13.0         1071.0           32.7
           12.0         1193.0           34.5
           12.0         1195.0           34.6
            6.0         1113.0           33.4
           13.0         1106.0           33.3
            4.0         1159.0           34.0
            5.0         1102.0           33.2
           16.0         1141.0           33.8
            6.0         1117.0           33.4
           10.0         1136.0           33.7
           10.0         1095.0           33.1
           10.0         1052.0           32.4
            7.0         1082.0           32.9
           10.0         1064.0           32.6
           11.0         1032.0           32.1
            6.0         1015.0           31.9
           14.0         1033.0           32.1
            8.0         1086.0           33.0
           11.0          997.0           31.6
           11.0         1027.0           32.0
           12.0         1077.0           32.8
            9.0          957.0           30.9
           17.0         1000.0           31.6
           10.0          963.0           31.0
           20.0          984.0           31.4
           15.0          966.0           31.1
           14.0          968.0           31.1
           14.0          913.0           30.2
           12.0          936.0           30.6
           16.0          916.0           30.3
           15.0          888.0           29.8
           17.0          945.0           30.7
           21.0          910.0           30.2
           19.0          966.0           31.1
           23.0          882.0           29.7
           26.0          920.0           30.3
           21.0          888.0           29.8
           14.0          944.0           30.7
           17.0          921.0           30.3
           19.0          858.0           29.3
           20.0          833.0           28.9
