         pCa             force           
    3.0460900068E-01    6.3916559219E+00
    3.0661299825E-01    6.3983025551E+00
    3.0861699581E-01    6.4048547745E+00
    3.1062099338E-01    6.4113144875E+00
    3.1262499094E-01    6.4176816940E+00
    3.1462898850E-01    6.4239583015E+00
    3.1663298607E-01    6.4301466942E+00
    3.1863701344E-01    6.4362478256E+00
    3.2064101100E-01    6.4422621727E+00
    3.2264500856E-01    6.4481921196E+00
    3.2464900613E-01    6.4540381432E+00
    3.2665300369E-01    6.4598021507E+00
    3.2865700126E-01    6.4654850960E+00
    3.3066099882E-01    6.4710888863E+00
    3.3266499639E-01    6.4766139984E+00
    3.3466899395E-01    6.4820618629E+00
    3.3667299151E-01    6.4874334335E+00
    3.3867698908E-01    6.4927310944E+00
    3.4068098664E-01    6.4979543686E+00
    3.4268501401E-01    6.5031046867E+00
    3.4468901157E-01    6.5081839561E+00
    3.4669300914E-01    6.5131926537E+00
    3.4869700670E-01    6.5181312561E+00
    3.5070100427E-01    6.5230021477E+00
    3.5270500183E-01    6.5278058052E+00
    3.5470899940E-01    6.5325427055E+00
    3.5671299696E-01    6.5372147560E+00
    3.5871699452E-01    6.5418224335E+00
    3.6072099209E-01    6.5463666916E+00
    3.6272498965E-01    6.5508489609E+00
    3.6472898722E-01    6.5552692413E+00
    3.6673301458E-01    6.5596284866E+00
    3.6873701215E-01    6.5639281273E+00
    3.7074100971E-01    6.5681691170E+00
    3.7274500728E-01    6.5723519325E+00
    3.7474998832E-01    6.5764799118E+00
    3.7675398588E-01    6.5805497169E+00
    3.7875801325E-01    6.5845637321E+00
    3.8076201081E-01    6.5885233879E+00
    3.8276600838E-01    6.5924296379E+00
    3.8477000594E-01    6.5962820053E+00
    3.8677400351E-01    6.6000819206E+00
    3.8877800107E-01    6.6038308144E+00
    3.9078199863E-01    6.6075291634E+00
    3.9278599620E-01    6.6111769676E+00
    3.9478999376E-01    6.6147761345E+00
    3.9679399133E-01    6.6183266640E+00
    3.9879798889E-01    6.6218285561E+00
    4.0080198646E-01    6.6252832413E+00
    4.0280601382E-01    6.6286921501E+00
    4.0481001139E-01    6.6320543289E+00
    4.0681400895E-01    6.6353721619E+00
