         time            Ca              
    4.5044999570E-02    1.8466399752E-06    4.3818793297E+00
    4.5545499772E-02    1.8162500055E-06    4.3985972404E+00
    4.6045999974E-02    1.7863700350E-06    4.4144935608E+00
    4.6546500176E-02    1.7569800548E-06    4.4295902252E+00
    4.7047000378E-02    1.7280699467E-06    4.4439082146E+00
    4.7547500581E-02    1.6996500563E-06    4.4574689865E+00
    4.8048000783E-02    1.6716900291E-06    4.4702925682E+00
    4.8548500985E-02    1.6441999833E-06    4.4823975563E+00
    4.9049001187E-02    1.6171600237E-06    4.4938030243E+00
    4.9549501389E-02    1.5905700366E-06    4.5045270920E+00
    5.0050098449E-02    1.5644200175E-06    4.5145883560E+00
    5.0550598651E-02    1.5386999621E-06    4.5240001678E+00
    5.1051098853E-02    1.5134099840E-06    4.5327801704E+00
    5.1551599056E-02    1.4885399651E-06    4.5409445763E+00
    5.2052099258E-02    1.4640700101E-06    4.5485081673E+00
    5.2552599460E-02    1.4400200143E-06    4.5554857254E+00
    5.3053099662E-02    1.4163599644E-06    4.5618915558E+00
    5.3553599864E-02    1.3930899740E-06    4.5677394867E+00
    5.4054100066E-02    1.3702100432E-06    4.5730419159E+00
    5.4554600269E-02    1.3477000493E-06    4.5778131485E+00
    5.5055100471E-02    1.3255699969E-06    4.5820641518E+00
    5.5555600673E-02    1.3037999906E-06    4.5858078003E+00
    5.6056100875E-02    1.2824000351E-06    4.5890560150E+00
    5.6556601077E-02    1.2613500076E-06    4.5918197632E+00
    5.7057101279E-02    1.2406400174E-06    4.5941100121E+00
    5.7557601482E-02    1.2202799553E-06    4.5959377289E+00
    5.8058101684E-02    1.2002600442E-06    4.5973134041E+00
    5.8558598161E-02    1.1805600479E-06    4.5982470512E+00
    5.9059098363E-02    1.1611999753E-06    4.5987482071E+00
    5.9559598565E-02    1.1421500403E-06    4.5988273621E+00
    6.0060098767E-02    1.1234200201E-06    4.5984930992E+00
    6.0560598969E-02    1.1050000239E-06    4.5977549553E+00
    6.1061099172E-02    1.0868800473E-06    4.5966210365E+00
    6.1561599374E-02    1.0690599765E-06    4.5951008797E+00
    6.2062099576E-02    1.0515400390E-06    4.5932025909E+00
    6.2562599778E-02    1.0343100030E-06    4.5909342766E+00
    6.3063099980E-02    1.0173599776E-06    4.5883035660E+00
    6.3563600183E-02    1.0006999673E-06    4.5853195190E+00
    6.4064100385E-02    9.8430496109E-07    4.5819888115E+00
    6.4564600587E-02    9.6818496331E-07    4.5783185959E+00
    6.5065100789E-02    9.5233201591E-07    4.5743174553E+00
    6.5565600991E-02    9.3674100299E-07    4.5699911118E+00
    6.6066101193E-02    9.2140800234E-07    4.5653471947E+00
    6.6566601396E-02    9.0632897809E-07    4.5603923798E+00
    6.7067101598E-02    8.9149898486E-07    4.5551333427E+00
    6.7567601800E-02    8.7691500994E-07    4.5495772362E+00
    6.8068102002E-02    8.6257199428E-07    4.5437293053E+00
    6.8568602204E-02    8.4846601567E-07    4.5375976562E+00
    6.9069102407E-02    8.3459400457E-07    4.5311865807E+00
    6.9569602609E-02    8.2095101561E-07    4.5245027542E+00
    7.0070102811E-02    8.0753397924E-07    4.5175528526E+00
    7.0570603013E-02    7.9433800693E-07    4.5103416443E+00
    7.1071103215E-02    7.8136201864E-07    4.5028753281E+00
    7.1571603417E-02    7.6859902265E-07    4.4951591492E+00
    7.2072103620E-02    7.5604799576E-07    4.4871993065E+00
    7.2572596371E-02    7.4370501579E-07    4.4790005684E+00
    7.3073096573E-02    7.3156599001E-07    4.4705681801E+00
    7.3573596776E-02    7.1962801940E-07    4.4619073868E+00
    7.4074096978E-02    7.0788701123E-07    4.4530234337E+00
    7.4574597180E-02    6.9634097599E-07    4.4439215660E+00
    7.5075097382E-02    6.8498502515E-07    4.4346060753E+00
    7.5575597584E-02    6.7381699864E-07    4.4250826836E+00
    7.6076097786E-02    6.6283502065E-07    4.4153552055E+00
    7.6576597989E-02    6.5203397526E-07    4.4054288864E+00
    7.7077098191E-02    6.4141102030E-07    4.3953080177E+00
    7.7577598393E-02    6.3096399572E-07    4.3849978447E+00
    7.8078098595E-02    6.2069102569E-07    4.3745017052E+00
    7.8578598797E-02    6.1058699430E-07    4.3638253212E+00
    7.9079099000E-02    6.0065002572E-07    4.3529720306E+00
    7.9579599202E-02    5.9087801674E-07    4.3419466019E+00
    8.0080099404E-02    5.8126698832E-07    4.3307523727E+00
    8.0580599606E-02    5.7181597413E-07    4.3193945885E+00
    8.1081099808E-02    5.6251997194E-07    4.3078765869E+00
    8.1581600010E-02    5.5337898175E-07    4.2962021828E+00
    8.2082100213E-02    5.4438902453E-07    4.2843761444E+00
    8.2582600415E-02    5.3554697388E-07    4.2724018097E+00
    8.3083100617E-02    5.2685197716E-07    4.2602825165E+00
    8.3583600819E-02    5.1830102166E-07    4.2480225563E+00
    8.4084101021E-02    5.0989098099E-07    4.2356257439E+00
    8.4584601223E-02    5.0161997933E-07    4.2230958939E+00
    8.5085101426E-02    4.9348699349E-07    4.2104358673E+00
    8.5585601628E-02    4.8548702125E-07    4.1976490021E+00
    8.6086101830E-02    4.7762000577E-07    4.1847400665E+00
    8.6586602032E-02    4.6988398594E-07    4.1717109680E+00
    8.7087102234E-02    4.6227501116E-07    4.1585659981E+00
    8.7587602437E-02    4.5479200139E-07    4.1453080177E+00
    8.8088102639E-02    4.4743299554E-07    4.1319403648E+00
    8.8588602841E-02    4.4019600409E-07    4.1184663773E+00
    8.9089103043E-02    4.3307798592E-07    4.1048889160E+00
    8.9589603245E-02    4.2607800310E-07    4.0912117958E+00
    9.0090103447E-02    4.1919400928E-07    4.0774369240E+00
    9.0590603650E-02    4.1242398652E-07    4.0635681152E+00
    9.1091096401E-02    4.0576600213E-07    4.0496082306E+00
    9.1591596603E-02    3.9921800976E-07    4.0355591774E+00
    9.2092096806E-02    3.9277898622E-07    4.0214247704E+00
    9.2592597008E-02    3.8644600409E-07    4.0072078705E+00
    9.3093097210E-02    3.8021698856E-07    3.9929113388E+00
    9.3593597412E-02    3.7409199649E-07    3.9785375595E+00
    9.4094097614E-02    3.6806798676E-07    3.9640891552E+00
    9.4594597816E-02    3.6214399302E-07    3.9495685101E+00
    9.5095098019E-02    3.5631799733E-07    3.9349787235E+00
    9.5595598221E-02    3.5058801018E-07    3.9203219414E+00
    9.6096098423E-02    3.4495300838E-07    3.9056007862E+00
    9.6596598625E-02    3.3941100241E-07    3.8908174038E+00
    9.7097098827E-02    3.3396099752E-07    3.8759746552E+00
    9.7597599030E-02    3.2860100418E-07    3.8610746861E+00
    9.8098099232E-02    3.2332999922E-07    3.8461201191E+00
    9.8598599434E-02    3.1814599311E-07    3.8311128616E+00
    9.9099099636E-02    3.1304799109E-07    3.8160555363E+00
    9.9599599838E-02    3.0803400364E-07    3.8009498119E+00
    1.0010000318E-01    3.0310300758E-07    3.7858014107E+00
    1.0060100257E-01    2.9825301340E-07    3.7705907822E+00
    1.0110100359E-01    2.9348399266E-07    3.7553689480E+00
    1.0160200298E-01    2.8879401270E-07    3.7400772572E+00
    1.0210199654E-01    2.8418099873E-07    3.7247786522E+00
    1.0260300338E-01    2.7964500759E-07    3.7094132900E+00
    1.0310299695E-01    2.7518399293E-07    3.6940455437E+00
    1.0360399634E-01    2.7079599363E-07    3.6786150932E+00
    1.0410399735E-01    2.6648100970E-07    3.6631858349E+00
    1.0460499674E-01    2.6223798955E-07    3.6476974487E+00
    1.0510499775E-01    2.5806500048E-07    3.6322140694E+00
    1.0560599715E-01    2.5395999614E-07    3.6166753769E+00
    1.0610599816E-01    2.4992399972E-07    3.6011450291E+00
    1.0660699755E-01    2.4595499326E-07    3.5855629444E+00
    1.0710699856E-01    2.4205098725E-07    3.5699927807E+00
    1.0760799795E-01    2.3821100115E-07    3.5543739796E+00
    1.0810799897E-01    2.3443600128E-07    3.5387704372E+00
    1.0860899836E-01    2.3072199440E-07    3.5231215954E+00
    1.0910899937E-01    2.2707099845E-07    3.5074913502E+00
    1.0960999876E-01    2.2347900597E-07    3.4918186665E+00
    1.1010999978E-01    2.1994699750E-07    3.4761676788E+00
    1.1061099917E-01    2.1647400672E-07    3.4604771137E+00
    1.1111100018E-01    2.1305700670E-07    3.4448115826E+00
    1.1161199957E-01    2.0969800119E-07    3.4291093349E+00
    1.1211200058E-01    2.0639400589E-07    3.4134349823E+00
    1.1261299998E-01    2.0314500659E-07    3.3977267742E+00
    1.1311300099E-01    1.9994899958E-07    3.3820488453E+00
    1.1361400038E-01    1.9680599905E-07    3.3663399220E+00
    1.1411400139E-01    1.9371600501E-07    3.3506639004E+00
    1.1461500078E-01    1.9067600476E-07    3.3349597454E+00
    1.1511500180E-01    1.8768699306E-07    3.3192908764E+00
    1.1561600119E-01    1.8474699459E-07    3.3035962582E+00
    1.1611600220E-01    1.8185599515E-07    3.2879395485E+00
    1.1661700159E-01    1.7901200522E-07    3.2722597122E+00
    1.1711700261E-01    1.7621600534E-07    3.2566196918E+00
    1.1761800200E-01    1.7346600600E-07    3.2409591675E+00
    1.1811800301E-01    1.7076199299E-07    3.2253413200E+00
    1.1861900240E-01    1.6810200520E-07    3.2097046375E+00
    1.1911900342E-01    1.6548600001E-07    3.1941125393E+00
    1.1962000281E-01    1.6291299687E-07    3.1785037518E+00
    1.2011999637E-01    1.6038400474E-07    3.1629416943E+00
    1.2062100321E-01    1.5789500196E-07    3.1473648548E+00
    1.2112099677E-01    1.5544900123E-07    3.1318373680E+00
    1.2162200361E-01    1.5304199508E-07    3.1162967682E+00
    1.2212199718E-01    1.5067500669E-07    3.1008071899E+00
    1.2262299657E-01    1.4834799344E-07    3.0853071213E+00
    1.2312299758E-01    1.4605899423E-07    3.0698590279E+00
    1.2362399697E-01    1.4380799485E-07    3.0544025898E+00
    1.2412399799E-01    1.4159400052E-07    3.0390000343E+00
    1.2462499738E-01    1.3941699706E-07    3.0235910416E+00
    1.2512500584E-01    1.3727600390E-07    3.0082373619E+00
    1.2562599778E-01    1.3516999786E-07    2.9928793907E+00
    1.2612600625E-01    1.3309899316E-07    2.9775776863E+00
    1.2662699819E-01    1.3106199503E-07    2.9622735977E+00
    1.2712700665E-01    1.2905900348E-07    2.9470276833E+00
    1.2762799859E-01    1.2709000430E-07    2.9317808151E+00
    1.2812800705E-01    1.2515199899E-07    2.9165935516E+00
    1.2862899899E-01    1.2324700549E-07    2.9014067650E+00
    1.2912899256E-01    1.2137300587E-07    2.8862812519E+00
    1.2962999940E-01    1.1953099488E-07    2.8711574078E+00
    1.3012999296E-01    1.1771899722E-07    2.8560962677E+00
    1.3063099980E-01    1.1593599680E-07    2.8410379887E+00
    1.3113099337E-01    1.1418399737E-07    2.8260440826E+00
    1.3163200021E-01    1.1246000042E-07    2.8110542297E+00
    1.3213199377E-01    1.1076500073E-07    2.7961299419E+00
    1.3263300061E-01    1.0909800352E-07    2.7812113762E+00
    1.3313299417E-01    1.0745799983E-07    2.7663593292E+00
    1.3363400102E-01    1.0584599863E-07    2.7515137196E+00
    1.3413399458E-01    1.0426000330E-07    2.7367360592E+00
    1.3463500142E-01    1.0269999962E-07    2.7219665051E+00
    1.3513499498E-01    1.0116699656E-07    2.7072656155E+00
    1.3563600183E-01    9.9658301167E-08    2.6925740242E+00
    1.3613599539E-01    9.8174901098E-08    2.6779518127E+00
    1.3663700223E-01    9.6716000542E-08    2.6633400917E+00
    1.3713699579E-01    9.5281301071E-08    2.6487987041E+00
    1.3763800263E-01    9.3870298201E-08    2.6342692375E+00
    1.3813799620E-01    9.2482700609E-08    2.6198108196E+00
    1.3863900304E-01    9.1117996703E-08    2.6053650379E+00
    1.3913899660E-01    8.9775902268E-08    2.5909912586E+00
    1.3964000344E-01    8.8455998082E-08    2.5766315460E+00
    1.4013999701E-01    8.7157999928E-08    2.5623443127E+00
    1.4064100385E-01    8.5881403322E-08    2.5480718613E+00
    1.4114099741E-01    8.4625902730E-08    2.5338726044E+00
    1.4164200425E-01    8.3391199723E-08    2.5196895599E+00
    1.4214199781E-01    8.2177002980E-08    2.5055799484E+00
    1.4264300466E-01    8.0982800910E-08    2.4914875031E+00
    1.4314299822E-01    7.9808401665E-08    2.4774692059E+00
    1.4364400506E-01    7.8653400237E-08    2.4634690285E+00
    1.4414399862E-01    7.7517597674E-08    2.4495434761E+00
    1.4464500546E-01    7.6400496596E-08    2.4356365204E+00
    1.4514499903E-01    7.5301898050E-08    2.4218051434E+00
    1.4564600587E-01    7.4221496504E-08    2.4079928398E+00
    1.4614599943E-01    7.3159000635E-08    2.3942565918E+00
    1.4664700627E-01    7.2113998328E-08    2.3805406094E+00
    1.4714699984E-01    7.1086297737E-08    2.3669006824E+00
    1.4764800668E-01    7.0075600433E-08    2.3532819748E+00
    1.4814800024E-01    6.9081700360E-08    2.3397397995E+00
    1.4864900708E-01    6.8104199613E-08    2.3262193203E+00
    1.4914900064E-01    6.7142899240E-08    2.3127756119E+00
    1.4964999259E-01    6.6197401338E-08    2.2993547916E+00
    1.5015000105E-01    6.5267599325E-08    2.2860102654E+00
    1.5065099299E-01    6.4353301354E-08    2.2726898193E+00
    1.5115100145E-01    6.3454002941E-08    2.2594459057E+00
    1.5165199339E-01    6.2569597503E-08    2.2462265491E+00
    1.5215200186E-01    6.1699800824E-08    2.2330839634E+00
    1.5265299380E-01    6.0844499217E-08    2.2199666500E+00
    1.5315300226E-01    6.0003202407E-08    2.2069261074E+00
    1.5365399420E-01    5.9175899736E-08    2.1939115524E+00
    1.5415400267E-01    5.8362299882E-08    2.1809740067E+00
    1.5465499461E-01    5.7562200340E-08    2.1680629253E+00
    1.5515500307E-01    5.6775299129E-08    2.1552288532E+00
    1.5565599501E-01    5.6001400850E-08    2.1424217224E+00
    1.5615600348E-01    5.5240299446E-08    2.1296918392E+00
    1.5665699542E-01    5.4491799517E-08    2.1169893742E+00
    1.5715700388E-01    5.3755698559E-08    2.1043643951E+00
    1.5765799582E-01    5.3031701697E-08    2.0917670727E+00
    1.5815800428E-01    5.2319798272E-08    2.0792472363E+00
    1.5865899622E-01    5.1619601038E-08    2.0667557716E+00
    1.5915900469E-01    5.0930999862E-08    2.0543415546E+00
    1.5965999663E-01    5.0253799344E-08    2.0419561863E+00
    1.6016000509E-01    4.9587800532E-08    2.0296480656E+00
    1.6066099703E-01    4.8932800922E-08    2.0173690319E+00
    1.6116100550E-01    4.8288701038E-08    2.0051674843E+00
    1.6166199744E-01    4.7655198898E-08    1.9929952621E+00
    1.6216200590E-01    4.7032198580E-08    1.9809004068E+00
    1.6266299784E-01    4.6419501132E-08    1.9688352346E+00
    1.6316300631E-01    4.5816900496E-08    1.9568474293E+00
    1.6366399825E-01    4.5224400225E-08    1.9448896646E+00
    1.6416400671E-01    4.4641598862E-08    1.9330090284E+00
    1.6466499865E-01    4.4068400484E-08    1.9211586714E+00
    1.6516500711E-01    4.3504801539E-08    1.9093854427E+00
    1.6566599905E-01    4.2950400569E-08    1.8976428509E+00
    1.6616599262E-01    4.2405300604E-08    1.8859773874E+00
    1.6666699946E-01    4.1869100187E-08    1.8743423223E+00
    1.6716699302E-01    4.1341799317E-08    1.8627845049E+00
    1.6766799986E-01    4.0823298519E-08    1.8512572050E+00
