         time            Ca              
    7.6576597989E-02    2.0091499664E-06    3.7895269394E+00
    7.7327303588E-02    1.9594899641E-06    3.8195738792E+00
    7.8078098595E-02    1.9110700578E-06    3.8480494022E+00
    7.8828796744E-02    1.8638399979E-06    3.8749516010E+00
    7.9579599202E-02    1.8177699985E-06    3.9002985954E+00
    8.0330297351E-02    1.7728500552E-06    3.9241056442E+00
    8.1081099808E-02    1.7290300320E-06    3.9463849068E+00
    8.1831797957E-02    1.8688200498E-06    3.9672305584E+00
    8.2582600415E-02    2.0092700197E-06    3.9871821404E+00
    8.3333298564E-02    2.1428700165E-06    4.0067758560E+00
    8.4084101021E-02    2.2699500732E-06    4.0264596939E+00
    8.4834799170E-02    2.3908201001E-06    4.0466003418E+00
    8.5585601628E-02    2.5057900075E-06    4.0675082207E+00
    8.6336299777E-02    2.6151499242E-06    4.0894298553E+00
    8.7087102234E-02    2.7191699701E-06    4.1125755310E+00
    8.7837800384E-02    2.8181200378E-06    4.1370978355E+00
    8.8588602841E-02    2.9122300020E-06    4.1631231308E+00
    8.9339300990E-02    2.9984998946E-06    4.1907396317E+00
    9.0090103447E-02    2.9243899462E-06    4.2199406624E+00
    9.0840801597E-02    2.8521199056E-06    4.2503285408E+00
    9.1591596603E-02    2.7816299735E-06    4.2814946175E+00
    9.2342302203E-02    2.7128799047E-06    4.3130850792E+00
    9.3093097210E-02    2.6458299089E-06    4.3448047638E+00
    9.3843802810E-02    2.5804399684E-06    4.3763866425E+00
    9.4594597816E-02    2.5166700652E-06    4.4076194763E+00
    9.5345303416E-02    2.4544699500E-06    4.4383125305E+00
    9.6096098423E-02    2.3938100639E-06    4.4683194160E+00
    9.6846796572E-02    2.3346499347E-06    4.4975066185E+00
    9.7597599030E-02    2.2769499992E-06    4.5257787704E+00
    9.8348297179E-02    2.2206800168E-06    4.5530462265E+00
    9.9099099636E-02    2.1657899651E-06    4.5792508125E+00
    9.9849797785E-02    2.1122700673E-06    4.6043348312E+00
    1.0060100257E-01    2.0600600692E-06    4.6282820702E+00
    1.0135100037E-01    2.0091499664E-06    4.6510109901E+00
    1.0210199654E-01    1.9594899641E-06    4.6725730896E+00
    1.0285300016E-01    1.9110700578E-06    4.6929273605E+00
    1.0360399634E-01    1.8638399979E-06    4.7120704651E+00
    1.0435400158E-01    1.8177699985E-06    4.7299809456E+00
    1.0510499775E-01    1.7728500552E-06    4.7467160225E+00
    1.0585600138E-01    1.7290300320E-06    4.7622489929E+00
    1.0660699755E-01    1.8688200498E-06    4.7766509056E+00
    1.0735700279E-01    2.0092700197E-06    4.7902989388E+00
    1.0810799897E-01    2.1428700165E-06    4.8036370277E+00
    1.0885900259E-01    2.2699500732E-06    4.8169860840E+00
    1.0960999876E-01    2.3908201001E-06    4.8306298256E+00
    1.1035999656E-01    2.5057900075E-06    4.8447890282E+00
    1.1111100018E-01    2.6151499242E-06    4.8596987724E+00
    1.1186199635E-01    2.7191699701E-06    4.8754982948E+00
    1.1261299998E-01    2.8181200378E-06    4.8923177719E+00
    1.1336299777E-01    2.9122300020E-06    4.9102253914E+00
    1.1411400139E-01    2.9984998946E-06    4.9293489456E+00
    1.1486499757E-01    2.9243899462E-06    4.9496574402E+00
    1.1561600119E-01    2.8521199056E-06    4.9708719254E+00
    1.1636599898E-01    2.7816299735E-06    4.9926609993E+00
    1.1711700261E-01    2.7128799047E-06    5.0148329735E+00
    1.1786799878E-01    2.6458299089E-06    5.0371341705E+00
    1.1861900240E-01    2.5804399684E-06    5.0593757629E+00
    1.1936900020E-01    2.5166700652E-06    5.0813641548E+00
    1.2011999637E-01    2.4544699500E-06    5.1030187607E+00
    1.2087099999E-01    2.3938100639E-06    5.1241946220E+00
    1.2162200361E-01    2.3346499347E-06    5.1447920799E+00
    1.2237200141E-01    2.2769499992E-06    5.1647024155E+00
    1.2312299758E-01    2.2206800168E-06    5.1839113235E+00
    1.2387400120E-01    2.1657899651E-06    5.2023396492E+00
    1.2462499738E-01    2.1122700673E-06    5.2199425697E+00
    1.2537500262E-01    2.0600600692E-06    5.2366628647E+00
    1.2612600625E-01    2.0091499664E-06    5.2525181770E+00
    1.2687699497E-01    1.9594899641E-06    5.2674698830E+00
    1.2762799859E-01    1.9110700578E-06    5.2815017700E+00
    1.2837800384E-01    1.8638399979E-06    5.2945904732E+00
    1.2912899256E-01    1.8177699985E-06    5.3067650795E+00
    1.2987999618E-01    1.7728500552E-06    5.3180103302E+00
    1.3063099980E-01    1.7290300320E-06    5.3283195496E+00
    1.3138100505E-01    1.8688200498E-06    5.3377275467E+00
    1.3213199377E-01    2.0092700197E-06    5.3465571404E+00
    1.3288299739E-01    2.1428700165E-06    5.3551068306E+00
    1.3363400102E-01    2.2699500732E-06    5.3636364937E+00
    1.3438400626E-01    2.3908201001E-06    5.3723578453E+00
    1.3513499498E-01    2.5057900075E-06    5.3814821243E+00
    1.3588599861E-01    2.6151499242E-06    5.3911538124E+00
    1.3663700223E-01    2.7191699701E-06    5.4015030861E+00
    1.3738699257E-01    2.8181200378E-06    5.4126172066E+00
    1.3813799620E-01    2.9122300020E-06    5.4246053696E+00
    1.3888899982E-01    2.9984998946E-06    5.4375185966E+00
    1.3964000344E-01    2.9243899462E-06    5.4513573647E+00
    1.4038999379E-01    2.8521199056E-06    5.4658961296E+00
    1.4114099741E-01    2.7816299735E-06    5.4809489250E+00
    1.4189200103E-01    2.7128799047E-06    5.4963078499E+00
    1.4264300466E-01    2.6458299089E-06    5.5118041039E+00
    1.4339299500E-01    2.5804399684E-06    5.5272731781E+00
    1.4414399862E-01    2.5166700652E-06    5.5426301956E+00
    1.4489500225E-01    2.4544699500E-06    5.5577464104E+00
    1.4564600587E-01    2.3938100639E-06    5.5725278854E+00
    1.4639599621E-01    2.3346499347E-06    5.5868778229E+00
    1.4714699984E-01    2.2769499992E-06    5.6007680893E+00
    1.4789800346E-01    2.2206800168E-06    5.6141228676E+00
    1.4864900708E-01    2.1657899651E-06    5.6268968582E+00
    1.4939899743E-01    2.1122700673E-06    5.6390347481E+00
    1.5015000105E-01    2.0600600692E-06    5.6505384445E+00
    1.5090100467E-01    2.0091499664E-06    5.6613664627E+00
    1.5165199339E-01    1.9594899641E-06    5.6714987755E+00
    1.5240199864E-01    1.9110700578E-06    5.6809082031E+00
    1.5315300226E-01    1.8638399979E-06    5.6896104813E+00
    1.5390400589E-01    1.8177699985E-06    5.6975831985E+00
    1.5465499461E-01    1.7728500552E-06    5.7048249245E+00
    1.5540499985E-01    1.7290300320E-06    5.7113161087E+00
    1.5615600348E-01    1.8688200498E-06    5.7171101570E+00
    1.5690700710E-01    2.0092700197E-06    5.7224259377E+00
    1.5765799582E-01    2.1428700165E-06    5.7275128365E+00
    1.5840800107E-01    2.2699500732E-06    5.7325692177E+00
    1.5915900469E-01    2.3908201001E-06    5.7377901077E+00
    1.5990999341E-01    2.5057900075E-06    5.7433204651E+00
    1.6066099703E-01    2.6151499242E-06    5.7492895126E+00
    1.6141100228E-01    2.7191699701E-06    5.7557954788E+00
    1.6216200590E-01    2.8181200378E-06    5.7629432678E+00
    1.6291299462E-01    2.9122300020E-06    5.7707901001E+00
    1.6366399825E-01    2.9984998946E-06    5.7793917656E+00
    1.6441400349E-01    2.9243899462E-06    5.7887415886E+00
    1.6516500711E-01    2.8521199056E-06    5.7987041473E+00
    1.6591599584E-01    2.7816299735E-06    5.8090929985E+00
    1.6666699946E-01    2.7128799047E-06    5.8197584152E+00
    1.6741700470E-01    2.6458299089E-06    5.8305525780E+00
    1.6816799343E-01    2.5804399684E-06    5.8413887024E+00
    1.6891899705E-01    2.5166700652E-06    5.8521518707E+00
    1.6967000067E-01    2.4544699500E-06    5.8627524376E+00
    1.7042000592E-01    2.3938100639E-06    5.8731017113E+00
    1.7117099464E-01    2.3346499347E-06    5.8831624985E+00
    1.7192199826E-01    2.2769499992E-06    5.8928632736E+00
    1.7267300189E-01    2.2206800168E-06    5.9021577835E+00
    1.7342300713E-01    2.1657899651E-06    5.9109921455E+00
    1.7417399585E-01    2.1122700673E-06    5.9193568230E+00
    1.7492499948E-01    2.0600600692E-06    5.9272131920E+00
    1.7567600310E-01    2.0091499664E-06    5.9345359802E+00
    1.7642599344E-01    1.9594899641E-06    5.9412965775E+00
    1.7717699707E-01    1.9110700578E-06    5.9474987984E+00
    1.7792800069E-01    1.8638399979E-06    5.9531226158E+00
    1.7867900431E-01    1.8177699985E-06    5.9581565857E+00
    1.7942899466E-01    1.7728500552E-06    5.9625902176E+00
    1.8017999828E-01    1.7290300320E-06    5.9664254189E+00
    1.8093100190E-01    1.8688200498E-06    5.9696798325E+00
    1.8168200552E-01    2.0092700197E-06    5.9725422859E+00
    1.8243199587E-01    2.1428700165E-06    5.9752144814E+00
    1.8318299949E-01    2.2699500732E-06    5.9778747559E+00
    1.8393400311E-01    2.3908201001E-06    5.9806694984E+00
    1.8468500674E-01    2.5057900075E-06    5.9837303162E+00
    1.8543499708E-01    2.6151499242E-06    5.9871606827E+00
    1.8618600070E-01    2.7191699701E-06    5.9910607338E+00
